title,location,size,selling price
5 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,SIX UNITS OF 5BEDROOM TOWNHOUSES FOR SALE IN K...,"KSh 350,000,000"
4 Bed Villa with En Suite at Bamburi,"Bamburi, Mombasa CBD, Mombasa Island",4 bedroom modern off plan villa on sale Bamburi...,"KSh 11,950,000"
5 Bed House with En Suite at Kizingoni Beach,"Kizingoni Beach, Lamu, lamu",Stunning 5 bedroom beach house for sale in Lamu,Price not communicated
8 Bed Villa with En Suite at Gasaro,"Mtwapa, Gasaro","Villa on sale in Mtwapa,Gasaro area","KSh 22,500,000"
3 Bed Villa with En Suite in Kiserian,Kiserian,"3 BEDROOMS BUNGALOW, KISERIAN.","KSh 6,100,000"
3 Bed House with En Suite at Lusigetti,"Lusigetti, Kikuyu Town, Kikuyu","House For Sale in Kikuyu, Lusigetti in a Gated...","KSh 12,100,000"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,Brand New 4-bedroom townhouse for sale off Kiam...,"KSh 24,000,000"
4 Bed House with En Suite at Mugutha,"Mugutha, mugutha, Ruiru",The Spectacular Flat Roof Maisonette In Ruiru,"KSh 26,000,000"
3 Bed Townhouse with En Suite in Kikuyu Town,"Kikuyu Town, Kikuyu",3 Bedroom Townhouse for sale in Kikuyu,"KSh 9,500,000"
3 Bed House with En Suite at Kisumu Municipality,"Kisumu Municipality, Kisumu","Lakeside Paradise: Standalone Bungalow, Kisumu","KSh 11,000,000"
2 Bed House with En Suite at Majengo,"Kanamai, Majengo, Kikambala",Kanamai house on sale.,"KSh 13,500,000"
4 Bed House in Kitisuru,"Kitisuru, Westlands",Four bedrooms plus two SQ for sale in kitusturu,"KSh 300,000,000"
4 Bed Townhouse with En Suite in Kyuna,"Kyuna, Westlands",4 Bedroom townhouse,"KSh 55,000,000"
7 Bed House with Swimming Pool at Forest View,"Forest view, Karen",Standalone house with Private Pool sitting on...,"KSh 125,000,000"
4 Bed Townhouse with En Suite in Ruaka,Ruaka,Spacious 4 Bedroom Ultra Modern Townhouses at R...,"KSh 17,000,000"
4 Bed House with En Suite in Karen,Karen,Moose Close,"KSh 68,000,000"
4 Bed Villa with En Suite at Nyali,"nyali, Nyali Area, Nyali",4 bedroom villa with a pool in a gated compou...,"KSh 72,000,000"
4 Bed House with En Suite at Easternville,"Easternville, Kamakis, Ruiru","4 Bedroom Townhouse for sale in Kamakis,Ruiru","KSh 12,600,000"
4 Bed Townhouse with En Suite at Mtwapa Garden,"Mtwapa Garden, Mtwapa",4 bedrooms all ensuite - with swimming pool -M...,"KSh 14,200,000"
5 Bed Townhouse at Kitsuru,"10, KITSURU, Kitisuru, Westlands","5 BEDROOM HOUSE FOR SALE AT NEW KITSURU, NAIROB...","KSh 100,000,000"
