title,location,size,selling price
3 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",FOR SALE 2/3/4/ PENTHOUSES EXCUTIVE UPCOMING AP...,"KSh 22,000,000"
4 Bed House with En Suite at Bamburi,"Bamburi, Nyali Area, Nyali",4 bedroom mansionate on sale at KES 15m Bamburi...,"KSh 15,000,000"
3 Bed House with Walk In Closet in Ruiru,Ruiru,3 BEDROOMS BUNGALOW IN RUIRU.,"KSh 6,500,000"
4 Bed Townhouse with En Suite at Makindi Road,"Makindi Road, Lavington",4 Bedroom Townhouse in Lavington – Makindi Road...,"KSh 60,000,000"
4 Bed House with En Suite at Chalbi Drive,"Chalbi Drive, Lavington",Elegant 4 Bedroom Villas For Sale In Lavington,"KSh 66,000,000"
3 Bed House with En Suite in Kitengela,Kitengela,3 Bedrooms + SQ Bungalow for Sale in Kitengela–...,"KSh 6,000,000"
5 Bed House with En Suite in Nyari,"Nyari, Westlands","5 BEDROOM HOUSE FOR SALE IN NYARI, WESTLANDS","KSh 150,000,000"
3 Bed House with Garden in Ongata Rongai,Ongata Rongai,3 BEDROOMS MAISONETTE IN RONGAI.,"KSh 10,500,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,Modern Homes For Sale,"KSh 70,000,000"
5 Bed Villa with En Suite in Runda,"Runda, Westlands",Modern and Cosy Five Bedroomed Standalone Villa,"KSh 90,000,000"
5 Bed House with En Suite in Kyuna,"Kyuna, Westlands",5 bedroom house for sale in Kyuna (Kenya) 3KE1...,"KSh 95,000,000"
6 Bed House with En Suite at Muthaiga Road,"89, Muthaiga Road, Muthaiga",Muthaiga Road 6 bedroom double storey house set...,"KSh 650,000,000"
3 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands",3Br house in Lower Kabete,"KSh 9,500,000"
4 Bed Townhouse with En Suite at Rimpa Road,"Rimpa Road, Ongata Rongai",4 bedroom Plus Study Room Maisonatte For Sale i...,"KSh 12,500,000"
4 Bed House with En Suite in Runda,"Runda, Westlands",Magnificent Four Bedrooms Stand Alone House in...,"KSh 90,000,000"
4 Bed House with Swimming Pool in Lamu,"Lamu, lamu",4 bedroom house for sale in Lamu,Price not communicated
2 Bed House with En Suite in Kileleshwa,Kileleshwa,"2-BEDROOMS APARTMENTS, KILELESHWA","KSh 20,000,000"
5 Bed House with En Suite in Karen,Karen,House for Sale in Karen- Hardy,"KSh 110,000,000"
4 Bed Villa with En Suite at Garden City,"Garden City, Thika Road","Thika Road, Garden City, New Townhouses – FOR S...","KSh 29,000,000"
4 Bed Villa with En Suite at Neptune,"Diani, Neptune",Beach villa on sale in Diani..,"KSh 95,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,5 bedroom for sale in lavington,"KSh 105,000,000"
4 Bed Villa with En Suite at Kenyatta Road,"1, Kenyatta road, Kenyatta Road",14TH GROOVE VILLAS BATIAN COURT,"KSh 10,500,000"
5 Bed House with En Suite at Karen Hills,"O, Karen hills, Karen",5 BEDROOM HOUSE FOR SALE IN KAREN NAIROBI KENYA,"KSh 100,000,000"
4 Bed Villa with En Suite in South C,South C,4 BEDROOM PLUS DSQ VILLAS FOR SALE IN SOUTH C,"KSh 29,000,000"
5 Bed Townhouse with En Suite in Langata,Langata,4 Bedroom + DSQ House for Sale in Langata,"KSh 25,000,000"
4 Bed House with En Suite at Ndumberi,"ndumberi, Tigoni, Limuru",4 Bed all-en suite Bungalow with a semi-DSQ for...,"KSh 40,000,000"
5 Bed Villa with En Suite at Bomas Of Kenya,"Bomas of kenya, Karen",5 BEDROOM VILLA FOR SALE IN KAREN NAIROBI KENYA,"KSh 135,000,000"
6 Bed House in Karen,Karen,6 bedroom ambassadorial house for sale,"KSh 180,000,000"
3 Bed House with Garden in Thika,Thika,"3 BEDROOMS BUNGALOW, MAKONGENI.","KSh 6,500,000"
6 Bed House with En Suite at Off Benin Dr,"4, Off Benin Dr, Runda, Westlands",An Elegant 6 Bedrooms Mansion for sale in Runda...,"KSh 100,000,000"
4 Bed Villa with En Suite in Tigoni,"Tigoni, Limuru",Beautiful 4bedroom Maisonettes,"KSh 16,500,000"
8 Bed Villa at Comboni,"Comboni Crescent, Comboni, Karen",1 STUNNING WHITE HOUSE FOR SALE IN KAREN GA,"KSh 200,000,000"
3 Bed House at Buruburu Phase 1,"Buruburu Phase 1, Buruburu",Buruburu : A 3 Bedroom Maisonette with a 1 bedr...,"KSh 10,500,000"
5 Bed House with En Suite in Syokimau,Syokimau,House on quick sale in Syokimau.,"KSh 12,000,000"
2 Bed House with En Suite in Watamu,Watamu,FOR SELL 2 HOUSES OF 2 BEDROOMS - WATAMU,"KSh 26,000,000"
3 Bed Townhouse in Malindi,Malindi,Holiday villa for sale,"KSh 72,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,5 bedroom Townhouse in Lavington,"KSh 48,000,000"
5 Bed House in Runda,"Runda, Westlands","5 bedrooms,250M","KSh 250,000,000"
1 Bed House with Garden at The Green Heart Village,"The Green Heart Village, Kilifi","Homes for Sale At The Green Heart Village, Kili...",Price not communicated
4 Bed House with En Suite in Vipingo,Vipingo,Magnificent 4br house for sale in Kilifi Kikamb...,"KSh 35,000,000"
3 Bed Townhouse with En Suite at Crystal Rivers Residency,"Crystal Rivers Residency, Athi River",Crystal Rivers Residency 3 Bedroom Townhouses w...,"KSh 11,000,000"
5 Bed Townhouse with En Suite in Nyali Area,"Nyali Area, Nyali",ELEGANT AND EXCLUSIVE 5 BEDROOM VILLA FOR SALE...,"KSh 45,000,000"
3 Bed Villa with En Suite at Mtwapa,"Jumba Ruins, Mtwapa",Beach property on sale at Mtwapa,"KSh 58,000,000"
4 Bed House with En Suite in Karen,Karen,House for sale in Karen (Kenya) 3KE1587387,"KSh 75,000,000"
3 Bed House with En Suite at Matangi Junction,"Murera, Matangi Junction, Ruiru",Luxurious 3-Bedroom Bungalow in Matangi Junctio...,"KSh 6,500,000"
4 Bed Villa with En Suite in Mombasa CBD,"Shanzu, Mombasa CBD, Mombasa Island",4 Brm Creek View On Sale Shanzu North Coast,"KSh 150,000,000"
4 Bed Townhouse with En Suite in Kilimani,Kilimani,4 Bedrooms Maisonette For sale Kilimani,"KSh 29,000,000"
4 Bed House at Citymall,"Citymall, Nyali Area, Nyali",4br house on 1/2 Acre plot for sale in Nyali C...,"KSh 56,000,000"
3 Bed House in Kitengela,Kitengela,Plainsview Estate Kitengela,"KSh 4,500,000"
3 Bed House with En Suite at Mombasa Road,"A 104, Mombasa Road, Athi River",Four bedroom master ensuite plus DSQ maisonnett...,"KSh 14,000,000"
4 Bed House with En Suite at Kenyatta Road,Kenyatta Road,Magnificent 4-Bedroom House for Sale Along Keny...,"KSh 38,000,000"
5 Bed Villa with En Suite in Westlands Area,"Westlands Area, Westlands",5 bedroom villa house for sale in Westland,"KSh 55,000,000"
3 Bed Townhouse with En Suite at Riverbank Estate,"Riverbank Estate, South B",Attractive 3 Bedroom Maisonette FOR SALE in Riv...,"KSh 13,000,000"
2 Bed Villa with En Suite in Diani,Diani,FOR SALE 2 VILLAS OF 2 BEDROOMS EACH - DIANI,"KSh 45,000,000"
4 Bed Townhouse with En Suite at Menelik Road,"Menelik Road, Kilimani",Magnificent 4 Bedroom with DSQ Maisonette for s...,"KSh 30,000,000"
3 Bed House with En Suite in Ruiru,Ruiru,"14th GROOVE VILLAS ""Elgon Court"" - 3 Bedroom B...","KSh 10,500,000"
5 Bed Townhouse with En Suite in Karen,Karen,5 Bed House with En Suite at Miotoni Rd Karen,"KSh 100,000,000"
4 Bed Townhouse with Swimming Pool at Kiambu Road,"Kiambu Road, Runda, Westlands","This is a lovely townhouse, 4 Bedrooms and a DS...","KSh 30,500,000"
4 Bed House with En Suite at 200M Off Kiambu Road,"200M Off Kiambu Road, Kiambu Road",4Br Villas For Sale in A Gated Estate Along Kia...,"KSh 28,000,000"
4 Bed House with En Suite at Convent,"Convent, Lavington",Outstanding 4 bedrooms corner villas plus tv r...,"KSh 80,000,000"
3 Bed House with Garden in Ngong,Ngong,3 BEDROOMS BUNGALOW IN NGONG.,"KSh 5,700,000"
4 Bed House with En Suite at Kerarapon Drive,"Kerarapon Drive, Karen",Beautiful four bedroom house,"KSh 31,000,000"
4 Bed House with En Suite at La-Marina Mtwapa,"Posta, La-marina Mtwapa, Mtwapa",Own compound villa on half acre land on sale Mt...,"KSh 26,500,000"
4 Bed House with En Suite in Ngong,Ngong,4 BEDROOMS MAISONETTE IN NGONG.,"KSh 17,500,000"
3 Bed Townhouse with En Suite in Kilimani,Kilimani,Renovated 3 Bedroom Maisonette + a study room p...,"KSh 35,000,000"
3 Bed House with En Suite in Ukunda,Ukunda,"FOR SALE 3 BEDROOMS HOUSE - DIANI, UKUNDA","KSh 33,000,000"
6 Bed House with En Suite in Ruiru,Ruiru,House For Sale in Membly Estate - A 6 Bedroom M...,"KSh 35,000,000"
4 Bed House with Garden in Langata,Langata,4 bedroom townhouse for sale in Langata,"KSh 26,000,000"
6 Bed House with En Suite at Jacaranda Avenue,"72, Jacaranda Avenue, Lavington",Prime 0.75 acres Residential Plot with a Double...,"KSh 135,000,000"
3 Bed House with Garden in Naivasha,Naivasha,Quick sale of a 3 bedroom holiday home in Naiva...,"KSh 14,000,000"
4 Bed House with En Suite in Muthaiga,Muthaiga,4 bedroom House on 1 Acre in Muthaiga (Price on...,Price not communicated
5 Bed House with En Suite at Pan Africa Insurance Lane,"Pan Africa Insurance Lane, Runda, Westlands",5 bedroom house for sale in Pan Africa Insuranc...,"KSh 75,000,000"
4 Bed Townhouse with En Suite in Ngong,Ngong,Four bedrooms mansion with dsq for sale in Kibi...,"KSh 18,500,000"
5 Bed House with En Suite at Nairobi,"Lenana Road, Kilimani, Nairobi","5-bedroom townhouse for sale, Lenana road, Kili...","KSh 50,000,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,New #4Bedroom ALL ensuite Townhouse + DSQ,"KSh 67,000,000"
4 Bed Townhouse with En Suite at Loresho,"Loresho, Westlands","4br Townhouse, Loresho","KSh 150,000,000"
4 Bed House with En Suite at Fourways Junction Estate,"Fourways Junction Estate, Kiambu Road",AN ELEGANT 4 BR VILLA IN FOURWAYS FOR SALE,"KSh 29,000,000"
4 Bed Villa with En Suite in Mombasa Road,Mombasa Road,4 BEDROOM VILLAS FOR SALE EAGLE PLANS,"KSh 30,000,000"
4 Bed House with En Suite at Fivestar Meadows Estate,"Fivestar Meadows Estate, Kiambu Road",4Br House For Sale in Fivestar Meadows Estate A...,"KSh 38,500,000"
3 Bed Townhouse with En Suite at Ridgeways,Ridgeways,"3br Townhouse, Ridgeways","KSh 75,000,000"
5 Bed Townhouse with En Suite at Msanduku Lane,"90, Msanduku Lane, Lavington",Exquisite 5 Bedrooms (all en-suite) Townhouse F...,"KSh 45,000,000"
3 Bed Villa with En Suite at Malindi,"Bushbaby Causaurina, Malindi","Malindi,3 bedroom villa on sale","KSh 27,500,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,LAVINGTON - 5 BEDROOM TOWNHOUSE FOR SALE,"KSh 67,500,000"
3 Bed House with En Suite at Lusingetti,"Lusingetti, Kikuyu Town, Kikuyu",3 Bedroom Flat Roofed Bungalow For Sale in Kiku...,"KSh 7,800,000"
4 Bed Townhouse with En Suite at Ngong Road,"0208, Ngong road, Ngong","Four-bedroom mansion on sale in Kibiko, Ngong:","KSh 12,500,000"
5 Bed House with En Suite at Panafrican Road,"89, Panafrican Road, Runda, Westlands",Runda Estate enclaves in Runda Estate opposite...,"KSh 250,000,000"
4 Bed Townhouse with En Suite at Edenville,"Edenville, Kiambu Road",4 Bedroom House For Sale Edenville,"KSh 25,945,000"
6 Bed House with En Suite at Kibera Station Road,"Kibera Station road, Jamhuri",QUICK SALE! RE-DEVELOPMENT POTENTIAL,"KSh 20,000,000"
4 Bed House in Syokimau,Syokimau,4 Bedroom Townhouse For Sale In Syokimau,"KSh 23,000,000"
4 Bed Townhouse with En Suite at Bandari Road,"Bandari Road, South C","4bdrm Maisonette in Bandari, South C for Sale","KSh 24,000,000"
5 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",5 Bedroom Ambassadorial House in Spring Valley...,"KSh 105,000,000"
5 Bed House with En Suite in Karen,Karen,Less Crowded RealEstate! Spacious 5 Bedroom Hom...,"KSh 99,000,000"
4 Bed Townhouse with En Suite at Dickdick Gardens,"dickdick gardens, Kileleshwa",Town House For Sale In Kileleshwa,"KSh 200,000,000"
4 Bed House with En Suite at Mugutha,"Mugutha, Ruiru",Beautiful house for sale in Ruiru,"KSh 17,000,000"
5 Bed Townhouse with Garden in Lavington,Lavington,5bedrooms plus servant quarters all ensuite mod...,"KSh 65,000,000"
5 Bed Townhouse with En Suite at Ngong,Ngong,5 bedroom with a family room all ensuit house...,"KSh 23,000,000"
4 Bed Villa at Phenom Park Estate,"Wilson, phenom Park estate, Langata","4 Bedrooms villa in Wilson, Langata Estate","KSh 37,000,000"
4 Bed Townhouse with En Suite in Kitengela,Kitengela,4 BEDROOM LUXURY TOWNHOUSE,"KSh 17,000,000"
6 Bed House with Garden in Kitisuru,"Kitisuru, Westlands","6 BEDROOM HOUSE FOR SALE IN KITISURU, NAIROBI","KSh 125,000,000"
6 Bed House with En Suite at Gikono,"Gikono, Murang'a County",HOUSE FOR SALE,"KSh 15,000,000"
3 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,3 AND 4BEDROOM TOWNHOUSES FOR SALE,"KSh 43,000,000"
6 Bed House with En Suite in Muthaiga,Muthaiga,Beautiful 6 bedroom House for sale in Muthaiga....,"KSh 350,000,000"
7 Bed House with En Suite at Mugumo Road,"87, Mugumo Road, Runda, Westlands",7 bedroom Ambassadorial house For Sale in Runda...,"KSh 130,000,000"
4 Bed House with En Suite in Kiambu Road,Kiambu Road,LUXURY 4 BEDROOMS VILLA IN KIAMBU ROAD.,"KSh 61,950,000"
5 Bed House with En Suite at Nyari Central,"Nyari Central, Nyari, Westlands",Excutive 5 bed with swimming pool for sale in N...,"KSh 130,000,000"
4 Bed House with En Suite in Kiambu Road,Kiambu Road,4 Br Maisonette For Sale in A gated Estate Alo...,"KSh 24,500,000"
4 Bed Villa with En Suite at Posta Mtwapa,"Mtwapa, Posta Mtwapa","Morden design 4 Bedrooms Master ensuit on sale,...","KSh 20,000,000"
3 Bed Townhouse with En Suite in Kitengela,Kitengela,Beautiful house for sale in kitengela,"KSh 7,200,000"
5 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",Executive 5Bedroom Home for Sale in Lower Kabet...,"KSh 87,000,000"
4 Bed House with En Suite at Old Kitisuru,"O, Old kitisuru, Kitisuru, Westlands",4 BEDROOM HOUSE FOR SALE IN OLD KITISURU NAIROB...,"KSh 250,000,000"
3 Bed House with En Suite at Kiungani,"Kiungani, Syokimau",3 Bedroom Townhouse For Sale In Syokimau,"KSh 13,000,000"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,Offplan Project! 4 bedroom townhouses for sale...,"KSh 28,000,000"
5 Bed Townhouse in Kileleshwa,Kileleshwa,5bedroom 60milion,"KSh 60,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,Modern 5Bedroom Townhouse for Sale in Lavington,"KSh 55,000,000"
3 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",For sale 3/4 bedrooms apartments/penthouse,"KSh 13,500,000"
5 Bed House with En Suite at Ngecha Rd,"Ngecha rd, Kitisuru, Westlands",5 BEDROOM HOUSE FOR SALE IN KITISURU,"KSh 128,000,000"
6 Bed House with En Suite in Runda,"Runda, Westlands",6 bedroom house for sale in runda,"KSh 180,000,000"
5 Bed Townhouse with En Suite in Brookside,"Brookside, Westlands","A Stunning,5Bedroom plus dsq for Sale in Brooks...","KSh 39,000,000"
3 Bed House with En Suite at Kanamai,"Bokoboko, Kanamai, Kikambala",Bank Auction Maisonette on sale.,"KSh 12,000,000"
4 Bed Villa with En Suite in Vipingo,Vipingo,4br Executive Villa On Sale Vipingo,"KSh 75,000,000"
3 Bed Villa with Swimming Pool in Diani,Diani,Home Sweet Home - stunning 3 bedroom villa,Price not communicated
4 Bed Villa with En Suite in Kikambala,Kikambala,Kikambala BEACH VILLA 4 BEDROOM,"KSh 85,000,000"
5 Bed House with En Suite at Runda Meadows,"78, Runda Meadows, Runda, Westlands",Sandwiched between built homes in a gated Commu...,"KSh 75,000,000"
4 Bed House with En Suite in Kiambu Road,Kiambu Road,Homely 4 Bedroom Villa for sale in Kiambu Road...,"KSh 37,500,000"
5 Bed House with En Suite in Runda,"Runda, Westlands",Palatial home for sale in Runda,"KSh 250,000,000"
4 Bed House with En Suite in Nyali Area,"Beach road Nyali, Nyali Area, Nyali",4br Mansion In A Shared Compound On Sale Nyali...,"KSh 33,000,000"
4 Bed House with Garden at Milimani,"Kitengela, Milimani",4 bedrooms bungalow for sale at Milimani area...,"KSh 6,300,000"
3 Bed Townhouse in South C,South C,A Well Maintained 3bedroom Townhouse Plus A Dsq,"KSh 19,000,000"
3 Bed House with En Suite at Mugutha,"mugutha, Ruiru",Unmatched Sophistication: Immerse Yourself in L...,"KSh 8,500,000"
4 Bed House with En Suite at Acacia,"Acacia, Kitengela",4 Bedroom Bungalow for Sale in Kitengela.,"KSh 6,000,000"
6 Bed House with En Suite in Nyari,"Nyari, Westlands",6 bedroom house for sale in Nyari (Kenya) 3KE16...,"KSh 150,000,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,4 Bedrooms Newly Built for Sale In lavington,"KSh 55,000,000"
5 Bed Townhouse with En Suite in Ruiru,Ruiru,Five Bedroom Townhouse for sale in Ruiru,"KSh 20,000,000"
4 Bed Villa with En Suite at Mombasa,"Bamburi, mombasa, Mombasa CBD, Mombasa Island",4 bedroom off plan premium villa on sale Bambur...,"KSh 11,950,000"
3 Bed House with En Suite in Ongata Rongai,Ongata Rongai,3 BEDROOMS BUNGALOW IN RONGAI AT NKOROI.,"KSh 7,000,000"
4 Bed Townhouse with En Suite in Thika,Thika,4 bedroom townhouse for sale in Thika (Kenya) 3...,"KSh 12,000,000"
5 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",5Bedrooms for Sale in Lower Kabete,"KSh 160,000,000"
4 Bed Villa with En Suite in Eastern ByPass,"Eastern ByPass, Ruiru","4-BEDROOMS VILLA, MATANGI, RUIRU","KSh 10,500,000"
3 Bed House with En Suite in Syokimau,Syokimau,Modern standalone Bungalow,"KSh 8,000,000"
5 Bed House in Lavington,Lavington,Elegant! Lavington Five Bedroom Townhouse for s...,"KSh 80,000,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,4 Bedroom All en-suite Townhouse + DSQ,"KSh 40,000,000"
6 Bed Townhouse with En Suite in Lavington,Lavington,"Lavington, Newly Built Townhouses – FOR SALE","KSh 121,000,000"
3 Bed House with En Suite at Kitengela- Isinya Rd,"Kitengela- Isinya Rd, Kisaju",3-Bedroom Maisonette (master ensuite) at Mwalim...,"KSh 5,800,000"
6 Bed House with En Suite at Nyali,"Nyali, Nyali Area",Luxurious 6 bedroom family furnished villa wit...,"KSh 78,000,000"
4 Bed House with En Suite at Kibiku,"Kibiku, Ngong",4 bedrooms maisonette for sale in Ngong..,"KSh 13,800,000"
6 Bed House with En Suite at Near Nairobi Academy,"Near Nairobi Academy, Karen",KAREN : 6 Bedroom double storey house on ½ Acre...,"KSh 120,000,000"
4 Bed Townhouse with En Suite in Syokimau,Syokimau,NEW FOUR BEDROOM MAISONETTES IN SYOKIMAU - MOMB...,"KSh 14,500,000"
4 Bed House with Garden at Peponi Road,"Peponi Road, Westlands Area, Westlands",Contemporary Modern 4 Bedroom House For Sale Of...,"KSh 83,000,000"
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",Tranquil 5 Bedroom House For Sale in Kitisuru,"KSh 90,000,000"
4 Bed House with En Suite in Windsor,"Windsor, Roysambu",4 Bedroom For Sale in Windsor,"KSh 60,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,5Bedroom Townhouse for Sale in Lavington,"KSh 85,000,000"
10 Bed House with En Suite at Runda Road,"009, Runda Road, Runda, Westlands",10 bedrooms A substantial double storey house o...,"KSh 220,000,000"
2 Bed Villa with En Suite in Kiambu Road,Kiambu Road,"luxury 2 , 3,4 and 5 bedroom located in kiambu...","KSh 19,250,000"
3 Bed House with En Suite at Kangundo Rd,"Kangundo Rd, Joska, Kamulu Joska Malaa",3 bedroom bungalows all En-suite plus DSQ for s...,"KSh 8,150,000"
5 Bed House with En Suite in Kileleshwa,Kileleshwa,5 bedroom house for sale in Kileleshwa (Kenya)...,"KSh 48,000,000"
4 Bed House with En Suite at Off South Lake Road,"off South Lake Road, Naivasha","LOVELY 4 BED RANCH HOUSE WITH 3 COTTAGES, ON 25...","KSh 165,000,000"
4 Bed Townhouse with En Suite at Lavington,"Near Lavington Mall, Lavington",New Exciting 4 Bedroom Villas For Sale,"KSh 70,000,000"
5 Bed House in Kileleshwa,Kileleshwa,Outstanding Five Bedroom Townhouse in Kileleshw...,"KSh 65,000,000"
5 Bed Villa with En Suite in Karen,Karen,Karen in a well gated community 5bedrooms plus...,"KSh 110,000,000"
5 Bed Townhouse in Lavington,Lavington,"Lavington, Muthangari Gardens, Villa","KSh 85,000,000"
4 Bed House with En Suite at Bogani Park,"Bogani Park, Karen",4 bedroom House for sale in Karen,"KSh 88,000,000"
3 Bed Villa with En Suite in Ngong,Ngong,3-BEDROOM MASIONETTES,"KSh 12,500,000"
6 Bed House with En Suite in Runda,"Runda, Westlands",A Magnificent 6 Bedroom Home for Sale in Runda,"KSh 155,000,000"
4 Bed House with Garden at Olturoto,"Olturoto, Kitengela","Commercial, large 4 bedroom House on 2 Acres at...","KSh 23,000,000"
3 Bed Townhouse with En Suite at Acacia Premier Villas,"Acacia Premier Villas, Kitengela","ACACIA PREMIER VILLAS, KITENGELA","KSh 12,300,000"
6 Bed Villa with En Suite at Lower Kabete,"Lower kabete, Lower Kabete, Westlands",6 bedroom villas for sale,"KSh 100,000,000"
5 Bed House with En Suite at Ushirika Road,"Ushirika Road, Karen","5 bedroom house for sale in Ushirika Road, Kare...","KSh 100,000,000"
